Path,Lines,Bytes,PartialPet
"desktop-pet/StartupRegistration.cs","56","1987","false"
"desktop-pet/Tests/StickyHostedRuntimeLeaseTests.cs","56","2143","false"
"desktop-pet/Core/DailyContent/Weather/WeatherDaySummary.cs","51","2443","false"
"desktop-pet/Tests/StickyDockRestoreCommandTests.cs","50","1891","false"
"desktop-pet/Core/DailyContent/DailyBriefingContent.cs","49","1917","false"
"desktop-pet/Core/Messaging/PetMessagePolicy.cs","47","1816","false"
"desktop-pet/Infrastructure/EmbeddedAssemblyResolver.cs","47","1623","false"
"desktop-pet/Infrastructure/Persistence/PersistenceResult.cs","46","1255","false"
"desktop-pet/Core/Art/PetArtManifest.cs","45","1629","false"
"desktop-pet/Core/DailyContent/Weather/WeatherMeaningRules.cs","45","2112","false"
"desktop-pet/Core/DailyContent/PetDaypartRule.cs","44","1214","false"
"desktop-pet/Core/Animation/ArtPreloadReservations.cs","44","1322","false"
"desktop-pet/Core/Display/WindowFactsVersionRules.cs","42","1823","false"
"desktop-pet/Core/Messaging/BubbleReadingDurationRules.cs","42","1209","false"
"desktop-pet/Core/Interaction/PetSmallTalkPolicy.cs","41","1486","false"
"desktop-pet/Core/Keyboard/PetKeyboardPrivacyPolicy.cs","40","1259","false"
"desktop-pet/Core/Interaction/PetHoverStabilityRules.cs","40","1449","false"
"desktop-pet/Features/StickyNotes/StickyBackupFileReader.cs","39","1491","false"
"desktop-pet/Features/Art/AnimationClip.cs","39","989","false"
"desktop-pet/Tests/DockTopologyReprojectPolicyTests.cs","38","2025","false"
"desktop-pet/Infrastructure/ArtCommandRouter.cs","38","1259","false"
"desktop-pet/Core/Interaction/PetPokeBurstTracker.cs","37","1070","false"
"desktop-pet/Core/Calendar/Almanac/AlmanacDayInfo.cs","36","1074","false"
"desktop-pet/Core/DailyContent/DailyContentPreferencesSnapshot.cs","36","1601","false"
"desktop-pet/ReverseEngineeringEasterEgg.cs","36","1290","false"
"desktop-pet/Features/KeyboardOverlay/KeyboardInputEventArgs.cs","33","1058","false"
"desktop-pet/Core/StickyNotes/SideTabSnapshot.cs","33","1113","false"
"desktop-pet/Core/DailyContent/ZodiacDailySelector.cs","33","1156","false"
"desktop-pet/Core/DailyContent/Weather/WeatherForecastWindow.cs","32","1058","false"
"desktop-pet/Core/Calendar/SolarTerm.cs","31","563","false"
"desktop-pet/WpfApplicationHost.cs","31","906","false"
"desktop-pet/Tests/StickyManagerDeleteContractTests.cs","30","1382","false"
"desktop-pet/Core/Settings/PetSettingRules.cs","28","756","false"
"desktop-pet/Core/Calendar/Almanac/AlmanacCalculator.cs","28","696","false"
"desktop-pet/Infrastructure/Display/DisplayDiagnostics.cs","28","925","false"
"desktop-pet/Core/DailyContent/Almanac/AlmanacDailySelection.cs","27","886","false"
"desktop-pet/Tests/PetContextMenuStickyActionTests.cs","27","1235","false"
"desktop-pet/Infrastructure/Persistence/WindowsDataPaths.cs","26","548","false"
"desktop-pet/Features/StickyNotes/UnsupportedStickySchemaException.cs","24","784","false"
"desktop-pet/PennyPet.SelfTestsProgram.cs","23","623","false"
"desktop-pet/Core/Calendar/SolarTermInfo.cs","22","572","false"
"desktop-pet/Core/DailyContent/DailyLineEntry.cs","21","571","false"
"desktop-pet/Core/DailyContent/ZodiacSign.cs","20","329","false"
"desktop-pet/Core/DailyContent/Almanac/AlmanacTopic.cs","19","346","false"
"desktop-pet/Core/DailyContent/Weather/WeatherMeaning.cs","19","295","false"
"desktop-pet/Core/DailyContent/Weather/WeatherDailySelection.cs","18","470","false"
"desktop-pet/Core/DailyContent/CuratedDailyLineSelector.cs","18","512","false"
"desktop-pet/PennyPet.ToolsProgram.cs","17","390","false"
"desktop-pet/PennyPet.AppProgram.cs","17","339","false"
"desktop-pet/Core/Messaging/PetMessageKind.cs","15","227","false"
"desktop-pet/Core/DailyContent/DayPart.cs","12","148","false"
"desktop-pet/Core/Startup/PetStartupRules.cs","12","243","false"
"desktop-pet/Core/Animation/PetInteractionAnimationKind.cs","11","157","false"
"desktop-pet/AssemblyInfo.cs","11","438","false"
